row_type,method,fold_a,fold_b,top5_a,top5_b,intersection_size,union_size,jaccard_overlap,average_jaccard,minimum_jaccard,maximum_jaccard
fold_pair,gradient_boosting_full,210330,210428,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,5,5,1.0,,,
fold_pair,gradient_boosting_full,210330,210611,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,4,6,0.6666666666666666,,,
fold_pair,gradient_boosting_full,210330,210628,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,4,6,0.6666666666666666,,,
fold_pair,gradient_boosting_full,210428,210611,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,4,6,0.6666666666666666,,,
fold_pair,gradient_boosting_full,210428,210628,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,4,6,0.6666666666666666,,,
fold_pair,gradient_boosting_full,210611,210628,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,5,5,1.0,,,
fold_summary,gradient_boosting_full,210129,ALL_OTHER_FOLDS,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,,,,,0.40306122448979587,0.25,0.42857142857142855
fold_summary,gradient_boosting_full,210202,ALL_OTHER_FOLDS,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,,,,,0.41156462585034015,0.25,0.6666666666666666
fold_summary,gradient_boosting_full,210310,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|demand_density|transport_cost_cv,,,,,0.5391156462585034,0.25,0.6666666666666666
fold_summary,gradient_boosting_full,210323,ALL_OTHER_FOLDS,Gamma|beta|incumbent_inventory_concentration_across_depots|mean_transport_cost|transport_cost_cv,,,,,0.5306122448979591,0.42857142857142855,0.6666666666666666
fold_summary,gradient_boosting_full,210330,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,,,,,0.6122448979591837,0.42857142857142855,1.0
fold_summary,gradient_boosting_full,210428,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,,,,,0.6122448979591837,0.42857142857142855,1.0
fold_summary,gradient_boosting_full,210611,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,,,,,0.6462585034013605,0.42857142857142855,1.0
fold_summary,gradient_boosting_full,210628,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,,,,,0.6462585034013605,0.42857142857142855,1.0
method_summary,gradient_boosting_full,ALL_FOLDS,ALL_FOLDS,,,,,,0.5501700680272108,0.25,1.0
